cell_id,pooler,workload,clients,pool_size,protocol,churn,duration_s,n,status,tps_median,tps_min,tps_max,tps_cv,p50_ms,p90_ms,p99_ms,p999_ms
M2-I14,direct,tpcb-like,50,10,simple,False,60,7,measured,3393.6896,3247.463138,3488.437563,0.02563178987520108,11.185,27.45820000000001,61.847079999999956,106.84829000000143
M2-I14,pgpool,tpcb-like,50,10,simple,False,60,7,measured,2516.929242,2391.560584,2543.906255,0.027836319294055424,15.15,36.4785,82.17800000000001,135.73102499999865
M2-I15,direct,select-only,100,10,simple,False,60,7,measured,24049.631985,23594.267702,24361.348635,0.010251570465457462,4.016,5.261,19.263,26.964188000000078
M2-I15,pgpool,select-only,100,10,simple,False,60,7,timeout/inconclusive,,,,,,,,
M2-I16,direct,tpcb-like,50,10,simple,False,60,7,measured,3766.253884,3694.099241,3804.243133,0.009245680560764793,10.065,24.926100000000005,56.28876,97.34598799999931
M2-I16,pgpool,tpcb-like,50,10,simple,False,60,7,measured,2742.580219,2734.34545,2770.806056,0.005234357107911548,13.744,33.573,75.57784000000002,126.89096799999959
M2-I2,direct,tpcb-like,50,10,simple,False,60,7,measured,2273.139726,1832.301125,2675.587472,0.14298413341642183,6.481,48.18460000000003,242.39110999999994,545.279221
M2-I2,pgagroal,tpcb-like,50,10,simple,False,60,7,measured,440.863388,335.621992,455.911502,0.10160774057539666,10.605,48.518100000000004,207.6116,59777.253455
M2-I3,direct,select-only,100,10,simple,False,60,7,measured,30931.530977,30455.442908,31110.475513,0.0075331806136958055,3.129,4.096,15.021,22.685026000000068
M2-I3,pgagroal,select-only,100,10,simple,False,60,7,measured,2485.87787,1923.95577,3729.904155,0.25773394343744405,1.002,3.005,17.59717000000016,1124.4231519996556
M2-I4,direct,tpcb-like,50,10,simple,False,60,7,measured,2334.821834,1670.650529,2957.719388,0.21000608929276932,8.493,42.308,218.89674000000028,437.35689000000673
M2-I4,pgagroal,tpcb-like,50,10,simple,False,60,7,measured,571.434512,433.92497,700.042074,0.15845174611357912,7.342,33.325999999999986,201.4266,59811.506947999995
M2-I5,direct,select-only,100,10,simple,False,60,7,measured,22454.914556,21125.015772,23544.718336,0.03743777140280984,4.183,5.978,19.983,28.038
M2-I5,pgbouncer,select-only,100,10,simple,False,60,7,measured,16788.341864,16585.221671,16998.296588,0.0078062349758970416,5.853,6.597,7.652999999999999,8.635
M2-I6,direct,tpcb-like,50,10,simple,False,60,7,measured,3330.185031,3268.497486,3415.60646,0.015604585388504472,11.334,28.172800000000016,63.487040000000036,109.21544800000024
M2-I6,pgbouncer,tpcb-like,50,10,simple,False,60,7,measured,2562.75812,2536.109738,2750.854794,0.028132418744509825,19.245,21.515,24.359,30.001298999999968
M2-I7,direct,select-only,100,10,simple,False,60,7,measured,22630.585163,21877.167485,23516.586729,0.022634458073113428,4.147,5.712,20.381,28.443860000000335
M2-I7,odyssey,select-only,100,10,simple,False,60,7,measured,11341.022878,11272.3319,11424.369035,0.005288216144071859,8.708,9.722,10.899449999999952,11.901
M2-I8,direct,tpcb-like,50,10,simple,False,60,7,measured,3296.402166,3240.710671,3349.628542,0.011748076222200995,11.391,28.594899999999992,64.40915999999991,111.57041400000028
M2-I8,odyssey,tpcb-like,50,10,simple,False,60,7,measured,2687.681985,2644.78737,2700.865993,0.006867475953604515,18.393,20.307,23.143399999999993,33.9866139999998
M2-I9,direct,select-only,100,10,simple,False,60,7,measured,44701.610226,43278.213593,56503.084541,0.11021397441444401,2.163,3.157,11.022,17.202
M2-I9,odyssey,select-only,100,10,simple,False,60,7,measured,23248.372456,22418.33806,24064.191935,0.02754470763922446,4.217,4.835,5.6739999999999995,7.697
M2-P1,direct,tpcb-like,50,10,prepared,False,60,7,measured,3953.61629,3924.586419,4031.368228,0.009957623272737548,8.899,25.22830000000002,59.941239999999524,105.94915499999922
M2-P1,pgagroal,tpcb-like,50,10,prepared,False,60,7,timeout/inconclusive,,,,,,,,
M2-P2,direct,tpcb-like,50,10,prepared,False,60,7,measured,3940.384482,3903.31418,4057.331707,0.01261994514987162,8.885,25.367,60.07308000000002,104.63214600000039
M2-P2,pgbouncer,tpcb-like,50,10,prepared,False,60,7,timeout/inconclusive,,,,,,,,
M2-P3,direct,tpcb-like,50,10,prepared,False,60,7,measured,4150.31449,4129.637889,4194.818947,0.006141638539046761,8.632,23.71280000000002,55.92,98.95758099999938
M2-P3,pgbouncer,tpcb-like,50,10,prepared,False,60,7,timeout/inconclusive,,,,,,,,
M2-P4,direct,tpcb-like,50,10,prepared,False,60,7,measured,4189.971146,4116.577147,4205.676971,0.007575592300337615,8.53,23.539,56.07242999999991,97.64882400000002
M2-P4,odyssey,tpcb-like,50,10,prepared,False,60,7,measured,1303.95173,1299.209837,1311.206464,0.003213065768767188,38.048,40.588,44.10867,51.15120599999992
M2-P5,direct,tpcb-like,50,10,prepared,False,60,7,measured,4037.174865,4013.49159,4093.328101,0.007277579455032987,8.585,25.13,59.935599999999866,104.57412399999984
M2-P5,pgcat,tpcb-like,50,10,prepared,False,60,7,timeout/inconclusive,,,,,,,,
M2-P6,direct,tpcb-like,50,10,prepared,False,60,7,measured,4032.613267,3953.758017,4094.657618,0.011051950850431062,8.54,25.205,60.633599999999944,105.47031899999921
M2-P6,pgpool,tpcb-like,50,10,prepared,False,60,7,measured,1914.988427,1891.884642,1922.080816,0.006667822680130672,20.356,47.28479999999999,104.86557999999995,168.0461800000006
M2-S1,direct,select-only,100,10,simple,False,60,7,measured,24707.449648,24447.040456,25146.568907,0.012444583716310239,3.827,5.095,18.648,26.51323399999994
M2-S1,pgagroal,select-only,100,10,simple,False,60,7,timeout/inconclusive,,,,,,,,
M2-S10,direct,tpcb-like,50,10,simple,False,60,7,measured,3435.996301,3297.031693,3460.045154,0.017731500539326477,11.154,27.23970000000001,60.656289999999984,104.17585200000002
M2-S10,pgcat,tpcb-like,50,10,simple,False,60,7,measured,2668.600745,2634.653748,2737.222765,0.012500989324555659,3.56,4.746,6.632200000000012,9.089458999999973
M2-S11,direct,select-only,100,10,simple,False,60,7,measured,31182.641848,30394.699653,31556.770655,0.013235754695768478,3.113,3.876,15.478,22.850703999999908
M2-S11,pgpool,select-only,100,10,simple,False,60,7,measured,22722.592419,21804.151118,24787.855877,0.040670010032679824,3.987,7.564,16.984,26.509285999999847
M2-S12,direct,tpcb-like,50,10,simple,False,60,7,measured,3138.885766,2303.95646,3563.984344,0.14343589253620767,7.934,28.617700000000013,173.07322999999985,372.9860069999865
M2-S12,pgpool,tpcb-like,50,10,simple,False,60,7,measured,2237.528791,1884.078337,2774.253761,0.1570230221112943,10.997499999999999,40.9953,214.14167000000074,371.037915
M2-S13,direct,select-only,100,10,simple,False,60,7,measured,23884.0372,22459.651857,24012.818368,0.028263895346836928,3.93,5.392,19.422,27.387146000000183
M2-S13,pgcat,select-only,100,10,simple,False,60,7,measured,15004.903905,14785.24354,15169.092267,0.009133094819695342,0.666,0.842,1.062,1.587
M2-S14,direct,tpcb-like,50,10,simple,False,60,7,measured,3388.88827,3323.595803,3458.350727,0.013797441952890422,11.108,27.926,63.81559999999986,109.95112300000063
M2-S14,pgcat,tpcb-like,50,10,simple,False,60,7,measured,2360.220851,2326.615986,2390.819557,0.009813774406974186,4.054,5.138,7.32,10.924959999999498
M2-S15,direct,select-only,100,10,simple,False,60,7,measured,29901.092734,28622.798358,30544.369898,0.024319042229302295,3.226,4.255,15.910290000000039,23.640257999999914
M2-S15,pgbouncer,select-only,100,10,simple,False,60,7,measured,28404.878318,24868.792001,29281.209933,0.06386121706417987,0.63,1.017,1.574,2.219
M2-S16,direct,tpcb-like,50,10,simple,False,60,7,measured,2772.920224,2218.660035,3393.681591,0.1654412469168661,8.024,34.36620000000001,191.87040999999954,441.20703600000064
M2-S16,pgbouncer,tpcb-like,50,10,simple,False,60,7,measured,2334.427543,1877.184159,2853.836081,0.1777832467835746,4.795,9.372600000000006,103.87311999999994,235.67114800000556
M2-S2,direct,tpcb-like,50,10,simple,False,60,7,measured,3516.312122,3405.641032,3572.596159,0.01480170163411763,10.865,26.549,58.714479999999924,99.23726600000083
M2-S2,pgagroal,tpcb-like,50,10,simple,False,60,7,timeout/inconclusive,,,,,,,,
M2-S3,direct,select-only,100,10,simple,False,60,7,measured,24192.644029,23905.635432,24460.96009,0.0070871028850083015,4.023,5.133,19.170939999999945,26.99379499999946
M2-S3,pgagroal,select-only,100,10,simple,False,60,7,timeout/inconclusive,,,,,,,,
M2-S4,direct,tpcb-like,50,10,simple,False,60,7,measured,3794.027533,3771.468279,3845.743618,0.00812347258428557,10.041,24.496,54.61747999999992,94.8835360000003
M2-S4,pgagroal,tpcb-like,50,10,simple,False,60,7,timeout/inconclusive,,,,,,,,
M2-S5,direct,select-only,100,10,simple,False,60,7,measured,23891.601474,22684.358624,24704.986261,0.026794320567394867,3.933,5.396,18.934,26.700404999999797
M2-S5,pgbouncer,select-only,100,10,simple,False,60,7,measured,18078.221525,17674.423788,18782.709594,0.019682373605924727,0.528,0.724,1.003,1.483
M2-S6,direct,tpcb-like,50,10,simple,False,60,7,measured,3512.268166,3378.573189,3543.105206,0.018847730493100925,10.803,26.652800000000017,59.914,103.62310800000134
M2-S6,pgbouncer,tpcb-like,50,10,simple,False,60,7,measured,2670.566294,2646.124848,2695.919379,0.007367135434834619,3.57,4.732,6.615,9.637196999999956
M2-S7,direct,select-only,100,10,simple,False,60,7,measured,24429.155849,24053.085151,24591.708235,0.007064179129688425,3.87,5.199,18.969,26.941467999999876
M2-S7,odyssey,select-only,100,10,simple,False,60,7,measured,21109.79217,20748.577814,22219.592812,0.026898519647215794,0.439,0.691,0.963,1.354
